127.0.0.1 - - [26/Jun/2015:21:19:59 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:20:21 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:20:21 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:20:21 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:20:49 +0530] "GET /FloppersWS/customer/customerlogin.jsp HTTP/1.1" 200 3613
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:20:49 +0530] "GET /FloppersWS/codebase/dhtmlxcalendar.css HTTP/1.1" 200 24533
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:20:49 +0530] "GET /FloppersWS/common/css/common.css HTTP/1.1" 200 12451
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:20:49 +0530] "GET /FloppersWS/customer/customerlogin.js HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:20:49 +0530] "GET /FloppersWS/codebase/dhtmlxcalendar.js HTTP/1.1" 200 87033
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:20:49 +0530] "GET /FloppersWS/common/js/common.js HTTP/1.1" 200 5970
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:20:49 +0530] "GET /FloppersWS/images/logo.png HTTP/1.1" 200 15827
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:21:38 +0530] "POST /FloppersWS/customer/customerlogin.action;jsessionid=C5CE30C4BF4EB47525486F72028DCBA2 HTTP/1.1" 200 3909
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:21:38 +0530] "GET /FloppersWS/customer/customerlanding.js HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:21:38 +0530] "GET /FloppersWS/images/agents/appointment.png HTTP/1.1" 200 22092
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:21:38 +0530] "GET /FloppersWS/images/agents/cslogo.jpg HTTP/1.1" 200 162886
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:21:43 +0530] "POST /FloppersWS/customer/customerlogin.action;jsessionid=C5CE30C4BF4EB47525486F72028DCBA2 HTTP/1.1" 200 3678
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:21:45 +0530] "POST /FloppersWS/customer/customerlogin.action HTTP/1.1" 200 3909
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:21:50 +0530] "GET /FloppersWS/customer/appointmentbooking.jsp HTTP/1.1" 200 5407
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:21:50 +0530] "GET /FloppersWS/customer/appointmentbooking.js HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:21:50 +0530] "GET /FloppersWS/codebase/imgs/calendar.gif HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:22:36 +0530] "POST /FloppersWS/customer/customerlogin.action;jsessionid=C5CE30C4BF4EB47525486F72028DCBA2 HTTP/1.1" 200 3678
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:22:36 +0530] "GET /FloppersWS/codebase/dhtmlxcalendar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:22:36 +0530] "GET /FloppersWS/codebase/dhtmlxcalendar.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:22:36 +0530] "GET /FloppersWS/common/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:22:36 +0530] "GET /FloppersWS/customer/customerlogin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:22:36 +0530] "GET /FloppersWS/common/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:22:36 +0530] "GET /FloppersWS/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:22:41 +0530] "POST /FloppersWS/customer/customerlogin.action HTTP/1.1" 200 3909
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:22:44 +0530] "GET /FloppersWS/customer/appointmentbooking.jsp HTTP/1.1" 200 5407
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:22:54 +0530] "POST /FloppersWS/customer/customerlogin.action HTTP/1.1" 200 3909
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:22:57 +0530] "GET /FloppersWS/kandycustomerlogin HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [26/Jun/2015:21:24:01 +0530] "POST /FloppersWS/customer/customerlogin.action HTTP/1.1" 200 3909
